Codigo ,Proceso,Responsable,Tipo de hallazgo,Fuente,Descripcion,Fecha reporte,Fecha cierre ultima acción,AccionesPlanteadas
GTAR,Gestión Tratamiento Aguas Residuales,,C,Externa,"8,7
 El laboratorio de ensayo de calidad de agua residual de la PTAR LA MARINA, ha identificado que en los ensayos de solidos suspendidos totales SST y demanda química de oxigeno DQO, exceden lo establecido en la resolución 631 de 2015, (SST 90 mg/L y DQO 180 mg/L ), en las aguas de salida de PTAR LA MARINA, con esta información se ha consolidado 97 Trabajos no conformes TNC para el 2020, “Reporte y Gestión del Producto, Servicio y/o Trabajo No Conforme” Código AM-R-010,",2020-12-15,2020-12-31,10
GCP,Gestión Control Pérdidas,,C,Interna,9.1.3Incumplimiento a la meta de reducción del IANC para el mes de marzo de 2016,2016-04-01,2016-12-31,1
GCP,Gestión Control Pérdidas,,C,Interna Contratada,9.1.3 Índice de perdidas por suscriptor Facturado por fuera de la meta establecida,2017-07-21,2018-12-31,1
GCP,Gestión Control Pérdidas,,C,Interna,"9.1.3 Incumplimiento de las metas de los indicadores establecidos en el Plan de Acción vigencia 2018 ,% de cumplimiento en Instalación de medidores entregados por el laboratorio de Calibración de Medidores calibrados( después de retiro de medidores y envío a laboratorio para calibración)",2019-01-15,2019-11-30,7
GCP,Gestión Control Pérdidas,,C,Externa,"9.1.3 Numeral 9.1.3 La organización debe analizar y evaluar los datos y la información apropiados que surgen por el seguimiento y la medición.
 Los resultados del análisis deben utilizarse para evaluar: 
 d) Si lo planificado se ha implementado de forma eficaz
 g) La necesidad de mejoras en el sistema de la gestión de la calidad.
 
 Evidencia: Incumplimiento reiterativo en los indicadores vigencia 2021, no se logro evidenciar la eficacia de las acciones correctivas planteadas: 
 
 CIM: Meta 8400 medidores instalados anualmente, cada trimestre se estableció un cumplimiento así: I Trimestre 10% II- III Trimestre 35 % IV Trimestre 20%. I trimestre 115% II Trimestre 52,52% Se registra incumplimiento para el segundo trimestre por lo que se plantea acción correctiva con fecha de culminación de 30-09-2021.
 
 IMR: la meta del indicador por norma es ≥95% el cual no se ha cumplido para la presente vigencia. I trimestre 93,96% II Trimestre 93,95% se plantea acción correctiva con fecha de culminación de 
 30-09-2021",2022-02-21,2022-05-31,4
GCP,Gestión Control Pérdidas,,C,Interna Contratada,"9.1.3 Numeral 9.1.3
 
 IME: la meta es ≥95% para el ITrimestre 91,85% II Trimestre 91,62% se plantea acción correctiva con fecha de culminación de 30-09-2021
 
 CRM: la meta son 2200 medidores retirados, para cada trimestre se estableció un cumplimiento así: I Trimestre 10% II- III Trimestre 35 % IVTrimestre 20% Resultados ITrimestre 130% II Trimestre Resultados ITrimestre 130% IITrimestre 26,88% se plantea acción correctiva con fecha de culminación de 30-09-2021
 
 IANC: la meta es ≤ 30% el cumplimiento del ITrimestre es de 38,32% el IITrimestre 36,91% Se plantea acción correctiva con fecha de culminación de 30-09-2021
 
 IPUF: la meta es 6,5765 m³/suscriptor el resultado del primer trimestre es de 7,21 m³/suscriptor IITrimestre 6.8 m³/suscriptor. Se plantea acción correctiva con fecha de culminación de 30-09-2021",2022-02-21,2022-05-31,4
GCP,Gestión Control Pérdidas,,C,Externa,"Numeral 9.1.3 La organización debe analizar y evaluar los datos y la informacion apropiados que surgen por el seguimiento y la medicion.
 Los resultados del analisis deben utilizarse para evaluar:
 d) Si lo planificado se ha implentado de forma eficaz
 g) La necesidad de mejoras en el sistema de la gestion de la calidad.
 
 Evidencia: Incumplimiento reiterativo en los indicadores vigencia 2023, no se logro evidenciar la eficacia de las acciones correctivas planteadas:
 
 IME: la meta del indicador
 por norma es ≥95% el cual no se ha cumplido para la presente vigencia. I trimestre (90,48% - 90,23%-90,28%) II Trimestre ( 90,43% 91,05%-94,49%) se plantea accion correctiva con fecha de culminacion de 30-06-2023.
 
 IMR: la meta es ≥95% para el I Trimestre 92,10% -91,79%-92,29% II Trimestre 92,12%-92,52%-92,79% se plantea accion correctiva con fecha de culminacion de 15-08-2023.
 
 IMN: la meta es ≥95% para el I Trimestre 98,12%-98,30%-97,62% II Trimestre 98,17%-98,41%-98,59%
 
 IANC: la meta es ≤ 30% el cumplimiento del I Trimestre es de 33,83%-26,38%-35,30% el II Trimestre 34,58%-36,35%-31,87% Se plantea accion correctiva con fecha de culminacion de 31-12-2023.",2023-12-30,2024-12-31,3
GCP,Gestión Control Pérdidas,,C,Interna,"Numeral 7.2 Competencia. La organización debe:
 d) Conservar la documentacion apropiada como evidencia de la competencia
 Evidencia:No se logro evidenciar documentos que avalen la capacitacion del personal del proceso ni las reinducciones en temas relacionados con el desarrollo de sus funciones y competencias.",2023-12-30,2024-12-31,3
GCP,Gestión Control Pérdidas,,C,Externa,"Numeral 4,4.1 La organización debe determinar los procesos necesarios para para el sistema de gestion de la calidad y su aplicación a traves de la organización, y debe:
 a) Determinar las entadas requeridas y las salidas esperadas de estos procesos.
 Evidencia: La caracterizacion incluye una actividad que nunca se ha realizado eN la Gestion ""Desmonte de acometidas de Acueducto Inactivas"", no se logró establecer evidencias del desarrollo, ni controles de esta actividad.",2023-12-30,2024-12-31,3
GRTAR,Gestión Recolección y Transporte,,C,Externa,"Se evidencia incumplimiento al numeral 8.1 ya que los funcionarios adscritos al proceso no cuentan con certificado de espacios confinados, toda vez que se verifica la información consignada en la guía GRTAR-G-001 en el punto de descenso y no se cuenta con los respectivos certificados.",2023-09-16,2024-12-31,3
GRTAR,Gestión Recolección y Transporte,,C,Externa,"Se observa incumplimiento al numeral 7.1.5.2 (trazabilidad de las mediciones), ya que se solicita el Plan de Calibración, Mantenimiento y Verificación del equipo de medición de gases y no se cuenta con evidencia, adicionalmente no se observan calibraciones del equipo desde el año 2019.
 NOTA: Por parte del proceso GRTARse tiene evidenciapor medio de la cual se ha venido solicitando al proceso encargado de las calibraciones de equipos de la Empresa; el área de Subgerencia Técnica, LECA y el área de S.S.S.T. quienes suministran los equipos requeridos al proceso GRTAR; para la calibración de dichos equipos. Lo anterior aclarando que GRTAR realizó la gestión para tal fin, pero no es el proceso competente ni autorizado para ejecutar dicha actividad.",2023-09-16,2024-12-31,3
GRTAR,Gestión Recolección y Transporte,,C,Interna Contratada,"Se evidencia que las Órdenes de Trabajo de Cuadrillas (GRTAR-R-007), Orden de Inspección con Video (GRTAR-R-014) y Orden de Visita Técnica (GRTAR-R-015) tienen encuesta de satisfacción al cliente y el proceso no realiza consolidación ni análisis de la información, lo que genera incumplimiento al numeral 9.1.3 Análisis de la Información literal b. el grado de satisfacción del cliente.",2023-09-30,2024-12-31,3
GRTAR,Gestión Recolección y Transporte,,C,Interna,"N.C . No se evidencia cumplimiento al numeral 7.5.3 Control de la Información Documentada literal C 7.5.3.2 toda vez que revisadas la matriz GG-R-009 y de Partes Interesadas GG-R-014, se encuentran en versiones anteriores a las publicadas actualmente, se observa que en el contexto identifican riesgos que no son abordados en el mapa de riesgos y controles numeral 6.1. Adicicionalmente se observa instructivo de limpieza manual de sumideros GRTAR-I-002 en el relacionan un registro GRTAR-R-005 el cual fue dado de baja pero se encuentra publicado con otro nombre en la intranet. (CONTROL LODOS)",2023-09-30,2024-12-31,3
GRTAR,Gestión Recolección y Transporte,,C,Interna,"Se observa incumplimiento al numeral 9.1 seguimiento, medición, análisis y evaluación toda vez que no se observa diligenciamiento de la hoja de vida del indicador reclamación operativa, y el cálculo del indicador de ejecución presupuestal se encuentra en versión anterior a la publicada actualmente, de acuerdo a los lineamientos generados en la guia DPC-G-002.",2023-09-30,2024-07-31,3
GPT,Gestión Planeación Técnica,,C,Interna,"8,3 Al indagar por el cumplimiento del requisito de Diseño Y Desarrollo de los Servicios de Acueducto y alcantarillado. Aseo se evidencio en el Proyecto denominado Traslado de las Líneas Expresa de Occidente(Sector Macana) que:*Entre las entradas para el diseño no se tiene en cuenta las disponibilidades del Servicio de Acueducto existente en el proceso que puede generar un cambio en el diámetro de material, etc., de la Tuberia.*No se evidencia los controles de diseño y desarrollo, Revisiones ,Verificación, Validación,*No se evidencias los controles ejercidos por Gestión Planeación Técnica de los cambios en el Diseño y Desarrollo.",2018-03-09,2018-03-28,4
GPT,Gestión Planeación Técnica,,C,Externa,"7,1,5 Al solicitar la Hoja de Vida, el instructivo de trabajo para la Estación de Topográfica PENTAX W825-NX,Relacionado en el plan de Verificación, Mantenimiento y Calibración de Equipo GPT-PP-003, Se Evidencio que este Equipo fue comprado para el momento en que se envié el Estación Total Pentax WB325-N a Ejecutar Mantenimiento y /o Calibración, hace aproximadamente 3 años, pero no se ha utilizado por falta de un manual de manejo.",2018-03-09,2018-12-31,4
GPT,Gestión Planeación Técnica,,C,Interna,"Requisito 7.5. Información documentada. 7.5.3.2 La información documentada conservada como evidencia de la conformidad debe protegerse contra modificaciones no intencionadas.
 Durante la auditoría para la actividad de Levantamientos Topográficos se evidencia el diligenciamiento del formato cartera de nivelación GPT-R-034 a lápiz, lo cual no protege la información allí registrada de cambios no intencionados.
 No.2. Requisito 8. Operación. 8.1 Planificación y Control operacional. La organización debe planificar, implementar, y controlar los procesos necesarios para cumplir los requisitos para la provisión de productos y servicios y para implementar las acciones determinadas en el capítulo 6, mediante: literal e) la determinación, el mantenimiento y la conservación de la información documentada en la extensión necesaria para: 1) tener confianza en que los procesos se han llevado a cabo según lo planificado. 2) demostrar la conformidad de los productos y servicios con sus requisitos.",2022-02-21,2022-07-30,4
GPT,Gestión Planeación Técnica,,C,Externa,"Durante la auditoría no fue fácil identificar procedimental como se lleva a cabo la actividad de Levantamiento topográfico, ya que no cuentan con un instructivo o procedimiento que permita realizar la trazabilidad de la misma. Adicionalmente, durante la revisión de la documentación aplicable a la actividad como son los registros: Solicitud de Información Interna y Externa GPT-R-015, GPT-R-020 Informe de Topografía, GPT R 014 Reporte Técnico, Cartera de nivelación GPT-R-034, se evidencia casillas sin diligenciar, nombre y firma de responsables de actividades, firmas de los funcionarios que participaron en las visitas, que entregan y reciben la información relevante de la actividad y con la cual se toman decisiones; lo anterior se identifica a la evidencia auditada: visita realizada al barrio Ciudad Dorada MZ 8, 9, 10 y 11, cámaras 1019 y 1018 en el mes de febrero y que corresponde a una solicitud del gestor de Recolección y Transporte de Aguas Residuales.",2022-02-21,2022-05-31,4
GPT,Gestión Planeación Técnica,,C,Interna,"Requisito 7. Apoyo. 7.1 Recursos. 7.1.3 Infraestructura La organización debe determinar, proporcionar y mantener la infraestructura necesaria para la operación de sus procesos y lograr la conformidad de los productos y servicios: b) equipos y servicios asociados.
 Al solicitar evidencia del mantenimiento, verificación y/o calibración de los equipos (estaciones PENTAX V325N y Pentax W-825) al responsable de la actividad levantamiento topográfico, el suministra el registro Hoja de vida de equipos código LECA R 044 Hoja de Vida del Equipamiento V 03 en el cual se evidencia el diligenciamiento de la primera página, la cual consiste en la descripción de características de los equipos y en donde se establece que acciones requieren los mismos para garantizar su correcto funcionamiento; para estos equipos se tiene establecido una verificación bimensual, un .......",2022-02-21,2022-05-31,4
GPT,Gestión Planeación Técnica,,C,Interna,"un mantenimiento preventivo mensual y una calibración anual y al indagar por el cumplimiento de esto, se evidencia que no se ha realizado nada a los equipos desde el año 2016, igualmente no se tiene en las carpetas de los equipos la página 2 del formato Hoja de Vida del Equipamiento LECA R 044, que es la parte en donde se debe registrar todas las acciones de intervención en los equipos. 
 Así mismo, se evidencia incumplimiento al Plan de verificación, mantenimiento y calibración de equipos GPT PP 003 V04, actualizado el 21/03/15, donde se establecen acciones de mantenimiento mensuales, de verificación trimestrales.
 Lo anterior no permite garantizar el correcto funcionamiento de los equipos.",2022-02-21,2022-05-31,4
GPT,Gestión Planeación Técnica,,C,Externa,"NC1. Requisito 8. Operación. 8.1 Planificación y Control operacional. La organización debe planificar, implementar, y controlar los procesos necesarios para cumplir los requisitos para la provisión de productos y servicios y para implementar las acciones determinadas en el capítulo 6, mediante: Iteral d) la implementación del control de los procesos de acuerdo con los criterios.
 
 Durante la auditoría se revisó archivo en Excel nombrado ESTADO DISEÑOS 2 observó, diseñadores-julio, herramienta en la cual el proceso se manifiesta que realizan el control de la actividad de Diseño y Desarrollo de los servicios de acueducto y alcantarillado; sin embargo se observó, que no está diligenciado de manera completa, el personal auditado no tuvo claridad sobre los campos que solicita el archivo ni sobre la forma en la que se calcula el tiempo transcurrido entre la fecha de solícitud del diseño y la fecha en la cual se finalizó el mismo, dicha herramienta no proporciona información necesaria para el seguimiento y control de la actividad de Diseño y Desarrollo de los servicios de acueducto y alcantarillado para la toma de decisiones y el mejoramiento continuo del proceso.",2023-12-18,2024-12-31,3
GPT,Gestión Planeación Técnica,,C,Externa,"NC3. Requisito 10. Numeral 10.2 No conformidad y acción correctiva: Cuando ocurra una no conformidad, incluida cualquiera originada por quejas, la organización debe: d) revisar la eficacia de cualquier acción correctiva tomada.
 
 Al revisar el indicador que mide los días que se demora la ejecución de la actividad de levantamientos topográficos para los servicios de acueducto y alcantarillado en la hoja de vida del indicador DPC-R-009 Versión 9 periodo reportado del 01/01/2023 a 31/07/2023 el proceso reporta cumplimiento del indicador para todos los meses de enero a julio de 2023, se verifica el origen y la veracidad de los datos reportados para el calculo del indicador del mes de marzo de 2023, con los datos consignados en las carpetas físicas de los levantamientos topográficos pero no coinciden con los datos reportados en el indicador. Esta situación ya se había evidenciado en auditoria interna de vigencia anterior, por lo cual el proceso levantó acción correctiva con fecha del 21/02/2022 la cual se encuentra abierta; sin embargo, se evidencia que las acciones formuladas para gestionar la no conformidad no han sido eficaces.",2023-12-18,2024-12-31,3
GPT,Gestión Planeación Técnica,,C,Interna Contratada,"NC.2 Requisito 7. Apoyo. 7.1.5.2 Trazabilidad de las mediciones. Cuando la trazabilidad de las mediciones es un requisito, o es considerada por la organización como parte esencial para proporcionar confianza en la validez de los resultados de la medición, el equipo de medición debe: a) calibrarse o verificarse, o ambas, a intervalos especificados, o antes de su utilización, contra patrones de medición trazables a patrones de medición internacionales o nacionales; cuando no existan tales patrones, debe conservarse como información documentada la base utilizada para la calibración o la verificación.",2023-12-18,2024-12-31,3
GPT,Gestión Planeación Técnica,,C,Interna Contratada,"Durante auditoria se evidenció Plan de verificación, mantenimiento y calibración de equipos GPT-PP-003 Versión 4, con fecha de actualización 1 de junio de 2023 en el cual se establecen dos equipos de medición, Estación total Pentax W825-NX y Estación Total Pentax V325-N, en la entrevista el personal del proceso informa que las verificaciones realizadas durante el año 2023 al equipo Estación PENTAX V325-N las realizaron en base a cuatro (4) puntos de referencia que tienen establecidos en la parte superior del tanque de almacenamiento ""Tanque Corbones""; sin embargo, dicho procedimiento de verificación de equipos de medición no se encuentra documentado ni normalizado; de igual manera, se evidencio incumplimiento de las fechas establecidas para las verificaciones respecto al Plan de verificación, mantenimiento y calibración de equipos presentado, situación reiterativa en el proceso ya que en la auditoria interna realizada en el año 2021 se identificó la no conformidad del requisito 7.1.3 Infraestructura, para lo cual el proceso proyectó una acción correctiva; igualmente, en el informe de auditoria interna realizada en el año 2022 se detectó como oportunidad de mejora: ""Se debe tener en cuenta que la información referente a los equipos utilizados para la actividad de topografía, debe estar contenida en la hoja de vida de dichos equipos con el fin de conocer el historial y poder tomar decisiones, al igual que el Plan de verificación, mantenimiento y calibración de equipos GPT-PP-003 el cual se encuentra desactualizado""",2023-12-18,2024-12-31,3
DC,Dirección Comercial,,C,Interna Contratada,"7.5.3 Control de la información documentada. En la auditoria se observó que el registro Solicitud de Acueducto, Alcantarillado y Aseo. DC-R-009 está publicado en la página web en el link de tramites y servicios la versión 01, la versión vigente es la 02.",2022-02-21,2022-03-02,6
DC,Dirección Comercial,,C,Interna Contratada,"8,4,2 d) Tipo y alcance del control. Se evidencia que en las ordenes de suspensión el contratista de FRC con su APP toma la fotos como evidencia de loa suspensiones del servicio y es cargada a la matricula correspondiente en el aplicativo ARQ de EPA ESP. las fotos tomadas no son coherentes ni corresponden con la actividad realizada a la causal de suspensión.",2022-02-21,2022-05-31,5
DC,Dirección Comercial,,C,Externa,"NC.1 6,1,2 No se evidencia la Socialización de los procedimientos: DC-P-014,DC-P-015,DC-P-016 creados en el año 2022, dicha actividad de socialización se encuentra planteada en el Mapa de Riesgos AM-R-025 de la Dirección Comercial como una acción para abordar el riesgo #2.",2022-12-10,2013-07-20,3
DC,Dirección Comercial,,C,Externa,"NC. 2-7,5 Los registros C-R-004 y C-R-015 se encuentran publicados en le SGI pero ya no se usan en el proceso: el registro C-R-013 no tiene nombre ni firma de quien: elabora, revisa y/o aprueba y se encontraron errores en el diligenciamiento del mismo en la carpeta del año 2022. De forma reiterativa se observan registros con tachones e información que no corresponde al cuerpo del formato.",2022-12-20,2023-12-31,3
DC,Dirección Comercial,,C,Interna,"NC.3-8,4 Se evidencia el uso del registro CGCP-R-014 V2 que no existe en los documentos del SGI, el uso del mismo se da ya que es un reporte que arroja el aplicativo de software del sistema comercial de EPA.ESP.",2022-12-20,2023-07-20,3
DC,Dirección Comercial,,C,Interna Contratada,"NC. Requisito 7.5 Información Documentada.
 7.5.2 Creación y actualización. Al crear y actualizar la información documentada, la organización debe asegurarse de que lo siguiente sea apropiado: literal c) la revisión y aprobación con respecto a la conveniencia y adecuación. Durante la auditoria se evidencian procedimientos y registros que ya no son aplicados por el proceso y siguen apareciendo en la intranet. Por ejemplo:
 * Procedimientos C-P-005 Procedimiento de matricula provisional, C-P-006 Novedades yo solicitudes reportadas por los usuarios en la intranet, los cuales están obsoletos, debido a que se crearon unos nuevos para esta actividad DC-P-012 Procedimiento Para la legalización de conexiones fraudulentas de acueducto y alcantarillado ante Empresas Públicas de Armenia EPA ESP, DC-P-014 Procedimiento Para la creación de nuevos suscriptores de Empresas Públicas de Armenia ESP generados por conexiones temporales de obra para urbanizadores y/o constructores, entre otros.
 *No se hace censo de Usuarios y no se utiliza el formato Notificación de nueva visita Censo de Usuarios Código: C-R-029 (aparece el nombre de Carlos A. Hurtado Plazas como gerente general).
 * Boletines: Requisitos para Matriculas de Servicios de Acueducto y Alcantarillado C-B-001(2019) y C-B-002 (2019) aparece un numero telefónicoque no funciona para estas actividades, ya no aplica.
 que no funciona para estas actividades, ya no aplica.
 *Instructivo Atención preferencial a usuarios de Empresas Públicas de Armenia DC-I-009 el No. telefónico se va a buzón, ya no aplica.
 *Recepción de solicitud de servicio en el R-009 no se diligencia el numeral 9.
 7.5.3 Control de la información documentada-7.5.3.2 Para el control de la información documentada, la organización debe abordar las sigulentes actividades según corresponda: literal c) Control de cambios (por ejemplo, control de versión).
 Se evidencia hoja de vida indicadores DPC-R-09 en versión obsoleta V:08",2023-12-18,2024-12-31,3
DC,Dirección Comercial,,C,Interna Contratada,"NC. Requisito 8.1 Planificación y control operacional. Literal c) la implementación del control de los procesos de acuerdo con los criterios.
 Durante la auditoria a las actividades de Facturación, lectura y crítica, no se evidencia la ejecución de actividades como se han planificado en el procedimiento de lectura y crítica DC-P-002. Ni se utiliza el registro indicado en este procedimiento Lista de verificación actividades de Facturación DC-R-003 V:07. Así mismo ocurre con el procedimiento Facturación DC-P-003. Ni se utilizan los registros indicados en este procedimiento Planificación de la Facturación Mensual DC-R-002, Lista de Verificación Actividades de Facturación DC-R-003.
 De igual forma, al auditar la actividad del buzón de sugerencias, se evidencia que no se hace la actividad 10 que esta establecida en el Instructivo Manejo de Buzones de Sugerencias DC- I-002 y que indica que si las PQRSD son repetitivas se debe levantar acciones correctivas en el formato
 AM-R-011.",2023-12-18,2024-12-31,3
GTH,Gestión Talento Humano,,C,Interna Contratada,"8,1,d
 Se evidencia registro GTH-R-010 archivados diligenciados a lápiz y sin firmas.",2022-11-03,2023-12-31,3
GTH,Gestión Talento Humano,,C,Interna Contratada,"8,1,1
 La organización ha definido controles de vacunación en Hepatitis B, Leptospirosis y Tétanos para el personal de trabajo de campo expuesto a riesgo biológico, en el profesiograma contempla vacunación en Hepatitis B y tétanos para operario 1. Al verificar los contratos de apoyo a la gestión para el proceso de GTAR en los estudios previos y reglas de participación no se evidencia la solicitud de este requisito, por lo que se está contratando personal para actividades con exposición a riesgo biológico sin que se encuentren vacunados, por lo cual no se está garantizando el cumplimiento de este control en su totalidad, solo se cumple para trabajadores oficiales de EPA.",2022-12-15,2023-12-31,3
GTH,Gestión Talento Humano,,C,Externa,"8,1
 Se evidencian faltantes en señalética y señalización relacionada con botiquines, extintores, demarcación de piso, escaleras en las siguientes zonas: Gestión de planeación técnica, Gerencia técnica, Corbones, PTAP, GRTAR, Aseo Área de taller, Control pérdidas (ver anexo fotográfico).",2022-12-15,2023-02-15,3
GTH,Gestión Talento Humano,,C,Interna,"8,1
 Se evidencia incumplimiento del personal en el uso adecuado de los EPP proporcionados por la empresa y falta de orden y aseo en las siguientes áreas y actividades: Corbones, GDAP, ASEO (Poda), ASEO (Recolección) (ver anexo fotográfico).",2022-12-15,2023-02-28,3
GTH,Gestión Talento Humano,,C,Externa,"Decreto 1072 de 2015 2.2.4.6.33
 No se evidencia que el empleador garantice que se definan e implementen las acciones preventivas necesarias, con base en los resultados de la supervisión y medición de la eficacia del Sistema de Gestión de la Seguridad y Salud en el Trabajo (SGSST), de las auditorías y de la revisión por la alta dirección.",2023-12-18,2024-12-31,3
GTH,Gestión Talento Humano,,C,Externa,"10.2 b) 1) – d) e)
 No se evidencia que la organización, b) 2) determine las causas del incidente, d) determine e implemente acciones correctivas, de acuerdo con la jerarquía de los controles; y e) evalúe los riesgos de la SST que se relacionan con los peligros nuevos o modificados, antes de tomar acciones.",2023-12-18,2024-12-31,3
GTH,Gestión Talento Humano,,C,Externa,10.1 No se evidencia que la organización implemente las acciones necesarias para alcanzar los resultados previstos de su sistema de gestión de la SST.,2023-12-18,2024-12-31,3
GTH,Gestión Talento Humano,,C,Interna,"Decreto 1072 de 2015 en .Art. 2.2.4.6.8-9
 No se evidencia que el empleador garantice la capacitación de los trabajadores en los aspectos de seguridad y salud en el trabajo de acuerdo con las características de la empresa, la identificación de peligros, la evaluación y valoración de riesgos relacionados con su trabajo.",2023-12-18,2024-12-31,3
GTH,Gestión Talento Humano,,C,Externa,"9,3,d,5 No se evidencia evaluación del desempeño de las tendencias relativas a la participación y consulta.",2023-12-18,2024-12-31,3
GTH,Gestión Talento Humano,,C,Interna Contratada,"8,1 . No se evidencia la implementación de las acciones planificadas para el control de los procesos",2023-12-14,2024-12-31,3
GTH,Gestión Talento Humano,,C,Externa,"9,1,1 
 La organización debe conservar la información documentada adecuada: 
 - Como evidencia de los resultados de seguimiento, la medición, el análisis y la evaluación del desempeño
 - Sobre el mantenimiento, calibración o verificación de los equipos de medición.",2023-12-18,2024-12-31,3
GTH,Gestión Talento Humano,,C,Interna,"8.2 (b)
 La organización debe establecer, implementar y mantener procesos necesarios para prepararse y para responder ante situaciones de emergencia potenciales, según se identifica en el apartado 6.1.2.1, incluyendo: b) la provisión de formación para la respuesta planificada;",2023-12-18,2024-12-31,3
DPC,Dirección de Planeación Corporativa,,C,Interna,"9,1,1 
 La organización debe consrvar la información documentada adecuada- como evidencia de los resultados del seguimiento la medición, el análisis y la evaluación del desempeño; sobre el mantenimiento , calibración o verificación de los equipos de medición.
 
 Se evidencia que se hace mantenimiento al sistema de emergencias de fuga de cloro, sin embargo, en el informe de mantenimiento al proveedor no se deja constancia de la verificación/calibración del dosimetro de monogas de cloro .
 
 Se revisa la calibración del sistema de gases utilizado en las labores del proceso, gestión recolección y transporte de aguas residuales, se manifiesta que se hace verificación con gas patron, pero no se deja registro de ello. Se revisa fisicamente le equipo, el cual muestra que faltan cuarenta dias para la nueva calibración, sin embargo no se deja evidencia suficiente de la verificación realizada.",2023-12-13,2024-12-30,2
GTAR,Gestión Tratamiento Aguas Residuales,,C,Externa,"Se posee registro de aplicación, seguimiento y control de fichas amblentales de septiembre de 2024 (obra 028/22, emisario final). Se revisa el control de vertimientos en obra. Item 7.3, la cual establece que se debe poseer los certificados de disposición final de las aguas residuales generadas en el mantenimiento de baños portátiles. Se evidencia que en la lista de chequeo se registra que sí aplica, pero hay fotos de batería sanitaria construida, y sin soportes del permiso temporal de vertimiento. Y al llamar a la interventoria se manifiesta que los baños están siendo utilizados las de casas aledaña. Generando ambiguedades en la información reportada.",2024-11-07,2025-12-30,4
GTAR,Gestión Tratamiento Aguas Residuales,,C,Interna,"Al revisar los índices de DBO y DO de la PTAR, se pudo evidenciar que:
 Descripción
 a) DBO: se evidencia que se no se posee datos de enero y febrero de 2024.
 DQO: Se evidencia que no se cumple la variable en enero, febrero, julio y agosto de 2024. El análisis de causas es escaso al igual que las acciones propuestas.",2024-11-12,2025-12-30,4
GTAR,Gestión Tratamiento Aguas Residuales,,C,Interna Contratada,"N.C 7.5.3.1 La información documentada requerida por el sistema de gestión de la calidad y por esta Norma Internacional se debe controlar para asegurarse de que:
 a) esté disponible y sea idónea para su uso, donde y cuando se necesite;
 b) esté protegida adecuadamente (por ejemplo, contra pérdida de la confidencialidad, uso inadecuado o pérdida de integridad).
 7.5.3.2 Para el control de la información documentada, la organización debe abordar las siguientes actividades, según corresponda:
 a) distribución, acceso, recuperación y uso.
 b) almacenamiento y preservación, incluida la preservación de la legibilidad.
 No se evidencia analisis de la satisfacción del cliente para el concepto favorable de vertimientos, realizados para periodo enero a octubre 31 DE 2024.
 . No tienen copia de seguridad de la información, realizada analisis de la satisfacción del cliente para el concepto favorable de vertimientos, realizados para periodo enero a julio 31 de 2024, dado que se argumenta que el equipo se daño y en las copias de seguridad no se guardo este archivo",2024-12-06,2025-03-31,4
GCP,Gestión Control Pérdidas,,C,Interna Contratada,"Numeral 7.2 Competencia. La organización debe:
 d) Conservar la documentacion apropiada como evidencia de la competencia
 Evidencia:No se logro evidenciar documentos que avalen la capacitacion del personal del proceso ni las reinducciones en temas relacionados con el desarrollo de sus funciones y competencias.",2023-12-30,2024-12-31,3
GCP,Gestión Control Pérdidas,,C,Externa,"Numeral 4,4.1 La organización debe determinar los procesos necesarios para para el sistema de gestion de la calidad y su aplicación a traves de la organización, y debe:
 a) Determinar las entadas requeridas y las salidas esperadas de estos procesos.
 Evidencia: La caracterizacion incluye una actividad que nunca se ha realizado eN la Gestion ""Desmonte de acometidas de Acueducto Inactivas"", no se logró establecer evidencias del desarrollo, ni controles de esta actividad.",2023-12-30,2024-12-31,3
GRTAR,Gestión Recolección y Transporte,,C,Interna,"Numeral 6.1.1 Al planificar el sistema de gestion de la calidad, la organizacón debe considerar las cuestiones referidas en al apartado 4.1 (comprension de la organización y de su contexto) y los requisitos referidos en el apartado 4.2 (Comprension de las necesidades y expectativas de las partes interesadas), y determinar los riesgos y oportunidades que es necesario abordar con el fin de: a) asegurar que el sistema de gestión de la calidad pueda lograr sus resultados previstos: b) aumentar los efectos deseables (oportunidades); c) prevenir o reducir efectos no deseados (riesgos): d) lograr la mejora.
 Evidencias: No se logró evidenciar que los riesgos identificados en los documentos: Evaluacion del Contexto Empresas Publicas de Armenia ESP Código: GG-R-009 GTAR version actualizada el 25 de septiembre de 2024, Partes interesadas GG-R-0014 GRTAR version actualizada el 28 de agosto de 2024, son tratados como riesgos en la Mapa de Riesgos y Controles Institucional AM-R-025 GRTAR version actualizada el 8 de octubre de 2024.",2024-12-06,2025-12-31,4
